EPOCH=001,Accuracy= 41.330%
EPOCH=002,Accuracy= 53.320%
EPOCH=003,Accuracy= 61.930%
EPOCH=004,Accuracy= 68.600%
EPOCH=005,Accuracy= 69.580%
EPOCH=006,Accuracy= 73.900%
EPOCH=007,Accuracy= 77.730%
EPOCH=008,Accuracy= 80.470%
EPOCH=009,Accuracy= 78.610%
EPOCH=010,Accuracy= 72.430%
EPOCH=011,Accuracy= 76.110%
EPOCH=012,Accuracy= 79.770%
EPOCH=013,Accuracy= 77.470%
EPOCH=014,Accuracy= 76.330%
EPOCH=015,Accuracy= 83.520%
EPOCH=016,Accuracy= 82.220%
EPOCH=017,Accuracy= 81.740%
EPOCH=018,Accuracy= 83.080%
EPOCH=019,Accuracy= 84.450%
EPOCH=020,Accuracy= 84.330%
EPOCH=021,Accuracy= 82.640%
EPOCH=022,Accuracy= 82.430%
EPOCH=023,Accuracy= 84.120%
EPOCH=024,Accuracy= 83.690%
EPOCH=025,Accuracy= 83.500%
EPOCH=026,Accuracy= 82.110%
EPOCH=027,Accuracy= 81.770%
EPOCH=028,Accuracy= 84.290%
EPOCH=029,Accuracy= 83.940%
EPOCH=030,Accuracy= 78.820%
EPOCH=031,Accuracy= 83.760%
EPOCH=032,Accuracy= 80.690%
EPOCH=033,Accuracy= 84.530%
EPOCH=034,Accuracy= 86.170%
EPOCH=035,Accuracy= 77.740%
EPOCH=036,Accuracy= 84.250%
EPOCH=037,Accuracy= 84.380%
EPOCH=038,Accuracy= 83.930%
EPOCH=039,Accuracy= 84.420%
EPOCH=040,Accuracy= 85.970%
EPOCH=041,Accuracy= 84.260%
EPOCH=042,Accuracy= 83.880%
EPOCH=043,Accuracy= 84.170%
EPOCH=044,Accuracy= 85.010%
EPOCH=045,Accuracy= 83.890%
EPOCH=046,Accuracy= 83.650%
EPOCH=047,Accuracy= 81.680%
EPOCH=048,Accuracy= 75.330%
EPOCH=049,Accuracy= 82.510%
EPOCH=050,Accuracy= 84.900%
EPOCH=051,Accuracy= 83.180%
EPOCH=052,Accuracy= 83.520%
EPOCH=053,Accuracy= 84.120%
EPOCH=054,Accuracy= 84.290%
EPOCH=055,Accuracy= 84.930%
EPOCH=056,Accuracy= 85.890%
EPOCH=057,Accuracy= 82.980%
EPOCH=058,Accuracy= 84.710%
EPOCH=059,Accuracy= 86.420%
EPOCH=060,Accuracy= 82.870%
EPOCH=061,Accuracy= 85.990%
EPOCH=062,Accuracy= 83.650%
EPOCH=063,Accuracy= 82.390%
EPOCH=064,Accuracy= 83.760%
EPOCH=065,Accuracy= 81.360%
EPOCH=066,Accuracy= 82.250%
EPOCH=067,Accuracy= 84.650%
EPOCH=068,Accuracy= 86.100%
EPOCH=069,Accuracy= 85.910%
EPOCH=070,Accuracy= 85.130%
EPOCH=071,Accuracy= 85.530%
EPOCH=072,Accuracy= 81.890%
EPOCH=073,Accuracy= 85.060%
EPOCH=074,Accuracy= 85.310%
EPOCH=075,Accuracy= 80.030%
EPOCH=076,Accuracy= 77.990%
EPOCH=077,Accuracy= 85.870%
EPOCH=078,Accuracy= 85.780%
EPOCH=079,Accuracy= 84.980%
EPOCH=080,Accuracy= 84.770%
EPOCH=081,Accuracy= 84.830%
EPOCH=082,Accuracy= 81.870%
EPOCH=083,Accuracy= 82.890%
EPOCH=084,Accuracy= 81.460%
EPOCH=085,Accuracy= 85.170%
EPOCH=086,Accuracy= 86.990%
EPOCH=087,Accuracy= 79.890%
EPOCH=088,Accuracy= 84.910%
EPOCH=089,Accuracy= 83.580%
EPOCH=090,Accuracy= 86.590%
EPOCH=091,Accuracy= 72.520%
EPOCH=092,Accuracy= 82.140%
EPOCH=093,Accuracy= 84.850%
EPOCH=094,Accuracy= 85.830%
EPOCH=095,Accuracy= 84.890%
EPOCH=096,Accuracy= 85.840%
EPOCH=097,Accuracy= 85.940%
EPOCH=098,Accuracy= 81.170%
EPOCH=099,Accuracy= 85.140%
EPOCH=100,Accuracy= 84.580%
