001  00001 |Loss: 2.457 | Acc: 8.594% 
001  00002 |Loss: 9.276 | Acc: 10.156% 
001  00003 |Loss: 11.138 | Acc: 9.896% 
001  00004 |Loss: 10.982 | Acc: 9.375% 
001  00005 |Loss: 20.461 | Acc: 8.125% 
001  00006 |Loss: 20.521 | Acc: 8.724% 
001  00007 |Loss: 18.620 | Acc: 9.821% 
001  00008 |Loss: 17.321 | Acc: 10.254% 
001  00009 |Loss: 16.089 | Acc: 10.156% 
001  00010 |Loss: 15.128 | Acc: 9.844% 
001  00011 |Loss: 14.002 | Acc: 10.014% 
001  00012 |Loss: 13.053 | Acc: 9.831% 
001  00013 |Loss: 12.257 | Acc: 9.916% 
001  00014 |Loss: 11.556 | Acc: 9.710% 
001  00015 |Loss: 10.947 | Acc: 9.688% 
001  00016 |Loss: 10.414 | Acc: 9.668% 
001  00017 |Loss: 9.939 | Acc: 9.789% 
001  00018 |Loss: 9.527 | Acc: 9.766% 
001  00019 |Loss: 9.146 | Acc: 9.992% 
001  00020 |Loss: 8.805 | Acc: 10.156% 
001  00021 |Loss: 8.565 | Acc: 10.231% 
001  00022 |Loss: 8.294 | Acc: 10.405% 
001  00023 |Loss: 8.041 | Acc: 10.428% 
001  00024 |Loss: 7.850 | Acc: 10.286% 
001  00025 |Loss: 7.648 | Acc: 10.250% 
001  00026 |Loss: 7.461 | Acc: 10.006% 
001  00027 |Loss: 7.273 | Acc: 9.983% 
001  00028 |Loss: 7.104 | Acc: 9.849% 
001  00029 |Loss: 6.942 | Acc: 9.860% 
001  00030 |Loss: 6.789 | Acc: 9.818% 
001  00031 |Loss: 6.644 | Acc: 9.854% 
001  00032 |Loss: 6.508 | Acc: 9.839% 
001  00033 |Loss: 6.381 | Acc: 9.848% 
001  00034 |Loss: 6.261 | Acc: 9.743% 
001  00035 |Loss: 6.149 | Acc: 9.866% 
001  00036 |Loss: 6.042 | Acc: 9.852% 
001  00037 |Loss: 5.941 | Acc: 9.882% 
001  00038 |Loss: 5.845 | Acc: 9.930% 
001  00039 |Loss: 5.756 | Acc: 9.936% 
001  00040 |Loss: 5.670 | Acc: 9.922% 
001  00041 |Loss: 5.589 | Acc: 9.909% 
001  00042 |Loss: 5.511 | Acc: 9.914% 
001  00043 |Loss: 5.437 | Acc: 9.902% 
001  00044 |Loss: 5.366 | Acc: 9.819% 
001  00045 |Loss: 5.298 | Acc: 9.878% 
001  00046 |Loss: 5.233 | Acc: 9.969% 
001  00047 |Loss: 5.171 | Acc: 10.023% 
001  00048 |Loss: 5.111 | Acc: 9.977% 
001  00049 |Loss: 5.054 | Acc: 9.981% 
001  00050 |Loss: 5.000 | Acc: 9.984% 
001  00051 |Loss: 4.947 | Acc: 9.972% 
001  00052 |Loss: 4.896 | Acc: 9.991% 
001  00053 |Loss: 4.848 | Acc: 9.950% 
001  00054 |Loss: 4.801 | Acc: 9.925% 
001  00055 |Loss: 4.755 | Acc: 10.043% 
001  00056 |Loss: 4.711 | Acc: 10.045% 
001  00057 |Loss: 4.669 | Acc: 10.060% 
001  00058 |Loss: 4.629 | Acc: 10.089% 
001  00059 |Loss: 4.589 | Acc: 10.103% 
001  00060 |Loss: 4.551 | Acc: 10.039% 
